date,departure_total_delay_mins
2008-07-11,226386
2008-07-12,222516
2008-07-13,545275
2008-07-14,268835
2008-07-15,192476
2008-07-16,158981
2008-07-17,190439
2008-07-18,240358
2008-07-19,191445
2008-07-20,303036
2008-07-21,243838
2008-07-22,272521
2008-07-23,404564
2008-07-24,410409
2008-07-25,249054
2008-07-26,174479
2008-07-27,458206
2008-07-28,248612
2008-07-29,208409
2008-07-30,220033
2008-07-31,430584
2008-07-01,148793
2008-08-02,334578
2008-08-03,240397
2008-08-04,397401
2008-08-05,293294
2008-08-06,217608
2008-08-07,352340
2008-08-08,283283
2008-08-09,180016
2008-08-10,375855
2008-08-11,400237
2008-08-12,194923
2008-08-13,164443
2008-08-14,304761
2008-08-15,426221
2008-08-16,234661
2008-08-17,181185
2008-08-18,183183
2008-08-19,121396
2008-08-20,208222
2008-08-21,229580
2008-08-22,185158
2008-08-23,121466
2008-08-24,143654
2008-08-25,227878
2008-08-26,225106
2008-08-27,116682
2008-08-28,145522
2008-08-29,195197
2008-08-30,87612
2008-08-31,59485
2008-08-01,280923
2008-09-02,88586
2008-09-03,67733
2008-09-04,146161
2008-09-05,85778
2008-09-06,99116
2008-09-07,104772
2008-09-08,188049
2008-09-09,227704
2008-09-10,78895
2008-09-11,117252
2008-09-12,252262
2008-09-13,126807
2008-09-14,224688
2008-09-15,174558
2008-09-16,88702
2008-09-17,84179
2008-09-18,86266
2008-09-19,100524
2008-09-20,53809
2008-09-21,135987
2008-09-22,98448
2008-09-23,62921
2008-09-24,89997
2008-09-25,137140
2008-09-26,233070
2008-09-27,76256
2008-09-28,145365
2008-09-29,114590
2008-09-30,78756
2008-09-01,84689
2008-10-03,116519
2008-10-04,66030
2008-10-05,120255
2008-10-06,80214
2008-10-07,101998
2008-10-08,157110
2008-10-09,124526
2008-10-10,118820
2008-10-11,75723
2008-10-12,108076
2008-10-13,98516
2008-10-14,67277
2008-10-15,161586
2008-10-16,159578
2008-10-17,127578
2008-10-18,56201
2008-10-19,103429
2008-10-20,94412
2008-10-21,77083
2008-10-22,142942
2008-10-23,104811
2008-10-24,271700
2008-10-25,116679
2008-10-26,162593
2008-10-27,171405
2008-10-28,171534
2008-10-29,88151
2008-10-30,97112
2008-10-31,95650
2008-10-02,103370
2008-10-01,68908
2008-11-03,108418
2008-11-04,72899
2008-11-05,84189
2008-11-06,207920
2008-11-07,184794
2008-11-08,88502
2008-11-09,166324
2008-11-10,106959
2008-11-11,127670
2008-11-12,137153
2008-11-13,214117
2008-11-14,339143
2008-11-15,105959
2008-11-16,130412
2008-11-17,86408
2008-11-18,70364
2008-11-19,94538
2008-11-20,126414
2008-11-21,160187
2008-11-22,113759
2008-11-23,75872
2008-11-24,90505
2008-11-25,107865
2008-11-26,98192
2008-11-27,45308
2008-11-28,49519
2008-11-29,147211
2008-11-30,642023
2008-11-02,159172
2008-11-01,86255
2008-12-03,118069
2008-12-04,144526
2008-12-05,111734
2008-12-06,80489
2008-12-07,156822
2008-12-08,109980
2008-12-09,170950
2008-12-10,283659
2008-12-11,261031
2008-12-12,185618
2008-12-13,99350
2008-12-14,205691
2008-12-15,358041
2008-12-16,347680
2008-12-17,406280
2008-12-18,463303
2008-12-19,661987
2008-12-20,537477
2008-12-21,629758
2008-12-22,563393
2008-12-23,641760
2008-12-24,491936
2008-12-25,197503
2008-12-26,543688
2008-12-27,561940
2008-12-28,297326
2008-12-29,168919
2008-12-30,227074
2008-12-31,215284
2008-12-02,150219
2008-12-01,603887
